level,CLP_ID,node_bf,License_Type,Region,Sub_Region_Group,node_af,level1
1,0945c980-5860-4cb7-b65e-9b642cb1569c,Current Onboard,Paid,Americas,Latin America,Only UI,1
1,b7a259e6-ffc5-4b68-b34a-021ca4e2b9c0,Current Onboard,Trial,Europe,Nordics,No usage,1
1,57db2185-dc8f-4f1e-9bb5-f4e533ff9667,Current Onboard,Trial,AMEA,APAC exclude Pan Asia,No usage,1
1,e77fa808-9238-4278-9c3c-dfa52d0e29fd,Current Onboard,Trial,Europe,UK Region,Only UI,1
1,aa892347-4723-48a4-8cac-003439cdae9a,Current Onboard,Trial,AMEA,MMEA,Only UI,1
1,dc37fb96-fab6-4465-8f21-ade13e42d025,Current Onboard,Paid,Americas,North America,Only UI,1
1,5ecce2ab-5565-488b-8ec5-f8a7acd0d549,Current Onboard,Paid,AMEA,APAC exclude Pan Asia,Only UI,1
1,89648ddb-d075-4b0c-b48e-066a73fc7106,Current Onboard,Paid,Europe,Southern Europe,Only UI,1
1,dec0210b-0ca8-4d57-9cd9-6d0233fdeae9,Current Onboard,Trial,Europe,Benelux,No usage,1
1,8e43791a-5261-48d4-9e87-205b40c908f6,Current Onboard,Paid,Americas,Latin America,Only UI,1
1,f39fab0e-d38d-4f50-b3e2-1804892d9ef2,Current Onboard,Paid,Americas,Latin America,Only UI,1
1,28382fa3-c547-4dbc-9e58-27b129ddc8c7,Current Onboard,Essential Access,Americas,Latin America,No usage,1
1,abd0d37a-fcb4-416e-a8cf-448f5652d4e1,Current Onboard,Trial,Europe,Southern Europe,Only UI,1
1,98ef8ef2-9f0e-4edd-88de-3f16a24bf1b9,Current Onboard,Trial,Europe,Germany,Only UI,1
1,4d74abc2-a666-4b5d-bb4d-2deeec925734,Current Onboard,Trial,Americas,Latin America,Only UI,1
1,b01fd7dc-a25e-46b4-ae01-2fd78ee09df7,Current Onboard,Essential Access,Americas,Latin America,No usage,1
1,902489c8-153e-4ec1-b270-dcb6c605c905,Current Onboard,Paid,Americas,Latin America,Only UI,1
1,655546b6-0313-4621-9502-9ab6f6ec08d6,Current Onboard,Paid,Europe,Southern Europe,Only UI,1
1,aaf49acf-0601-4fbb-b1d8-90df6c9af96b,Current Onboard,Trial,Japan,Japan,Only UI,1
1,92be6b90-a64b-452c-92de-4d308b07faa5,Current Onboard,Paid,Americas,Latin America,Only UI,1
1,14b0e81f-0e94-4bf0-8d0c-7d41299355e9,Current Onboard,Essential Access,Europe,Germany,Only UI,1
1,c450e174-4bd2-4b98-891a-6325220c6d82,Current Onboard,Paid,AMEA,APAC exclude Pan Asia,No usage,1
1,2e0fb1ec-0f7d-48b7-aaf8-b7421c912b51,Current Onboard,Paid,Japan,Japan,Only UI,1
1,ab025e49-ba2f-49c1-9ef6-c79fbfaded4a,Current Onboard,Paid,Americas,Latin America,UI and API,1
1,c8fdb000-8738-4595-ba2e-aea525f005ae,Current Onboard,Paid,Europe,Southern Europe,UI and API,1
1,65637380-2a42-45a6-bbf9-3c08686faae7,Current Onboard,Trial,AMEA,MMEA,Only UI,1
1,d7d7212c-be4d-4f91-af05-01afb19d7290,Current Onboard,Trial,Americas,North America,Only UI,1
1,832b6192-b42d-41cd-b35e-d63c54b8ad29,Current Onboard,Trial,Americas,North America,No usage,1
1,709d7f0f-e9e1-4ac9-84f4-ec0b011268b6,Current Onboard,Trial,Europe,CEE,No usage,1
1,48273ca2-1f2c-47c7-94fb-06df5f16b99c,Current Onboard,Paid,AMEA,APAC exclude Pan Asia,No usage,1
1,dca28425-9224-4361-8621-8b4bc93e2f58,Current Onboard,Trial,Japan,Japan,Only UI,1
1,743d2e69-c252-41c1-bd0d-73f76d494885,Current Onboard,Trial,AMEA,APAC exclude Pan Asia,Only UI,1
1,5192649b-20c8-4e55-8192-6c02e5e1dacd,Current Onboard,Paid,Japan,Japan,Only UI,1
1,25beed28-8d3d-4002-b92a-28b59f098098,Current Onboard,Trial,AMEA,MMEA,No usage,1
1,4c6d7174-ead1-4dc6-b31e-bc8c83372750,Current Onboard,Trial,Americas,North America,Only UI,1
1,41220f79-4f58-47cb-a7ad-ac9251f4dbeb,Current Onboard,Trial,AMEA,MMEA,Only UI,1
1,1bad6291-051e-42e9-a57f-de8c483eafa4,Current Onboard,Paid,Japan,Japan,UI and API,1
1,791de708-5f5b-4a27-9c94-e11a7d176835,Current Onboard,Trial,Europe,Nordics,No usage,1
1,64f71b60-fbfa-4ffe-8feb-253f7733353d,Current Onboard,Essential Access,Americas,Latin America,Only UI,1
1,fe71ad38-1228-4d14-b515-0873e27c2a27,Current Onboard,Trial,Europe,Benelux,Only UI,1
1,65bb060b-47e1-4675-bfe8-59be6631afed,Current Onboard,Paid,Europe,Alps,Only UI,1
1,c1f897b4-ef4b-4771-a580-d18184405b62,Current Onboard,Trial,Japan,Japan,Only UI,1
1,e2955c1c-8e32-40cf-a906-6c07b55deff5,Current Onboard,Trial,Europe,Nordics,No usage,1
1,daca644a-30db-4bdd-bfd9-faa5575a1598,Current Onboard,Trial,Europe,Germany,No usage,1
